Cell_id,species,paper,Age,stage
D6N1B23,human,Xiang,D06,blastocyst
D6N1B6,human,Xiang,D06,blastocyst
D6N1S15,human,Xiang,D06,blastocyst
D6N1S1,human,Xiang,D06,blastocyst
D6N1S19,human,Xiang,D06,blastocyst
D6N1S3,human,Xiang,D06,blastocyst
D6N1S33,human,Xiang,D06,blastocyst
D6N1S34,human,Xiang,D06,blastocyst
D6N1S35,human,Xiang,D06,blastocyst
D6N1S39,human,Xiang,D06,blastocyst
D6N1S4,human,Xiang,D06,blastocyst
D6N1S42,human,Xiang,D06,blastocyst
D6N1S9,human,Xiang,D06,blastocyst
D6N2B1,human,Xiang,D06,blastocyst
D6N2B11,human,Xiang,D06,blastocyst
D6N2B12,human,Xiang,D06,blastocyst
D6N2B18,human,Xiang,D06,blastocyst
D6N2B2,human,Xiang,D06,blastocyst
D6N2B28,human,Xiang,D06,blastocyst
D6N2B7,human,Xiang,D06,blastocyst
D6N2B8,human,Xiang,D06,blastocyst
D6N2S11,human,Xiang,D06,blastocyst
D6N2S2,human,Xiang,D06,blastocyst
D6N2S35,human,Xiang,D06,blastocyst
D6N3B12,human,Xiang,D06,blastocyst
D6N3B7,human,Xiang,D06,blastocyst
D6N3S11,human,Xiang,D06,blastocyst
D6N3S2,human,Xiang,D06,blastocyst
D6N3S22,human,Xiang,D06,blastocyst
D6N3S28,human,Xiang,D06,blastocyst
D6N3S35,human,Xiang,D06,blastocyst
D6N3S40,human,Xiang,D06,blastocyst
D6N3S51,human,Xiang,D06,blastocyst
D7N1B1,human,Xiang,D07,blastocyst
D7N1B5,human,Xiang,D07,blastocyst
D7N1B7,human,Xiang,D07,blastocyst
D7N1B9,human,Xiang,D07,blastocyst
D7N1S15,human,Xiang,D07,blastocyst
D7N1S18,human,Xiang,D07,blastocyst
D7N1S19,human,Xiang,D07,blastocyst
D7N1S21,human,Xiang,D07,blastocyst
D7N1S24,human,Xiang,D07,blastocyst
D7N1S27,human,Xiang,D07,blastocyst
D7N1S30,human,Xiang,D07,blastocyst
D7N1S7,human,Xiang,D07,blastocyst
D7N1S9,human,Xiang,D07,blastocyst
D10A1B1,human,Xiang,D10,early post
D10A1B11,human,Xiang,D10,early post
D10A1B17,human,Xiang,D10,early post
D10A1B2,human,Xiang,D10,early post
D10A1B3,human,Xiang,D10,early post
D10A1B4,human,Xiang,D10,early post
D10A1B5,human,Xiang,D10,early post
D10A1B7,human,Xiang,D10,early post
D10A1B8,human,Xiang,D10,early post
D10A1S1,human,Xiang,D10,early post
D10A1S10,human,Xiang,D10,early post
D10A1S11,human,Xiang,D10,early post
D10A1S12,human,Xiang,D10,early post
D10A1S13,human,Xiang,D10,early post
D10A1S2,human,Xiang,D10,early post
D10A1S21,human,Xiang,D10,early post
D10A1S23,human,Xiang,D10,early post
D10A1S3,human,Xiang,D10,early post
D10A1S31,human,Xiang,D10,early post
D10A1S32,human,Xiang,D10,early post
D10A1S34,human,Xiang,D10,early post
D10A1S4,human,Xiang,D10,early post
D10A1S40,human,Xiang,D10,early post
D10A1S6,human,Xiang,D10,early post
